Name,Docs URL,Number of pages,Example URL,Rendering apps,Navigation document type,Content purpose,User journey,Search user need,Email document type,Government document type,Content Purpose Subgroup,Content Purpose Supergroup
service_manual_homepage,https://docs.publishing.service.gov.uk/document-types/service_manual_homepage.html,1,https://www.gov.uk/service-manual,service-manual-frontend,other,service-manual,finding,government,other,other,other,other
service_manual_service_standard,https://docs.publishing.service.gov.uk/document-types/service_manual_service_standard.html,1,https://www.gov.uk/service-manual/service-standard,service-manual-frontend,other,service-manual,thing,government,other,other,other,other
service_manual_service_toolkit,https://docs.publishing.service.gov.uk/document-types/service_manual_service_toolkit.html,0,,service-manual-frontend,other,service-manual,thing,government,other,other,other,other
service_manual_topic,https://docs.publishing.service.gov.uk/document-types/service_manual_topic.html,9,https://www.gov.uk/service-manual/agile-delivery,service-manual-frontend,other,service-manual,finding,government,other,other,other,other
service_sign_in,https://docs.publishing.service.gov.uk/document-types/service_sign_in.html,0,,government-frontend,other,other,thing,government,other,other,other,other
service_standard_report,https://docs.publishing.service.gov.uk/document-types/service_standard_report.html,195,https://www.gov.uk/service-standard-reports/dvla-webchat-alpha-assessment,government-frontend,other,reports,thing,government,other,other,decisions,news_and_communications
services_and_information,https://docs.publishing.service.gov.uk/document-types/services_and_information.html,0,,collections,other,corporate-info,finding,government,other,other,other,other
simple_smart_answer,https://docs.publishing.service.gov.uk/document-types/simple_smart_answer.html,32,https://www.gov.uk/sold-bought-vehicle,frontend,guidance,transactions,thing,core,other,other,transactions,services
smart_answer,https://docs.publishing.service.gov.uk/document-types/smart_answer.html,0,,smartanswers,guidance,transactions,thing,core,other,other,transactions,services
social_media_use,https://docs.publishing.service.gov.uk/document-types/social_media_use.html,42,https://www.gov.uk/government/organisations/foreign-commonwealth-office/about/social-media-use,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
special_representative_role,https://docs.publishing.service.gov.uk/document-types/special_representative_role.html,0,,"",other,other,thing,government,other,other,other,other
special_route,https://docs.publishing.service.gov.uk/document-types/special_route.html,3,https://www.gov.uk/find-local-council,"static, publicapi, collections, feedback, whitehall-frontend, email-alert-frontend, frontend, info-frontend, email-campaign-frontend, spotlight, performanceplatform-big-screen-view, finder-frontend, search-api",other,other,thing,government,other,other,other,other
speech,https://docs.publishing.service.gov.uk/document-types/speech.html,8003,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-3-july-2020,"government-frontend, whitehall-frontend",other,speeches-and-statements,thing,government,announcements,speeches,speeches_and_statements,news_and_communications
